Num	CG	Titolo	Musica	Testo	Raccolta	Annopub	Editore	Fonte	FonteClass	Stile	Forma	USO	TEMPO	COLLOCAZ	RN/CDP	RN	CDP	RCB	AnnoImp	Difficoltà	Risultato	Colloc_1	Colloc_2	Colloc_3	CollocFILT	CoroAss
1	CG001	A noi tuo popolo - Attende Domine	Gregoriano					M: Gregoriano    - RN78	RN	Tradizionale	Inno	LIT	QUA		RN78	RN78						20 - Tempi: Quaresima			20 - Tempi: Quaresima;;	Assemblea
2	CG002	A te nostro Padre	A. Vitalini	R. Lavagna				"M: A. Vitalini, T: R. Lavagna   -  "	Altri	Tradizionale		LIT	ORD	OFF	 							08 - Offertorio			08 - Offertorio;;	Assemblea
3	CG003	Apri le tue braccia	D. Machetta					M: D. Machetta    - RN256	RN			LIT	ORD		RN256	RN256	CDP								;;	Assemblea
4	CG004	Accogli i nostri doni	Gen Verde		E' bello lodarti	1999	Città Nuova	"M: Gen Verde , 'E' bello lodarti'  ed. Città Nuova (1999)-  "	Gen			LIT	ORD	OFF	 							08 - Offertorio			08 - Offertorio;;	Assemblea
5	CG005	Accoglimi	P. Sequeri					M: P. Sequeri    -  	Sequeri			LIT	"ORD,QUA"	"INGR,OFF"	 										;;	Assemblea
6	CG006	Acqua siamo noi	G. Cento					M: G. Cento    -  	Cento			RIP	RIP		 										;;	Assemblea
7	CG007	Adoriamo Gesù Cristo	Tradizionale	F. Rainoldi			LDC	"M: Tradizionale, T: F. Rainoldi  ed. LDC - RN123"	RN	Tradizionale		LIT	EUC		RN123	RN123	CDP								;;	Assemblea
8	CG008	Alleluia - E' risorto	Gen					M: Gen    -  	Gen			LIT	PAS		 										;;	Assemblea
9	CG009	Alleluia - Passeranno i cieli	S. Varnavà	A. Costa		1969		"M: S. Varnavà, T: A. Costa   (1969)- RN13"	RN	Liturgico - Polifonico		LIT	OM		RN13	RN13	CDP	RCB066				05 - Alleluia			05 - Alleluia;;	Coro e Assemblea
10	CG010	Alleluia - Beati coloro						     -  				LIT	OM		 										;;	Assemblea
11	CG011	Alleluia - E poi	G. Monti					M: G. Monti    -  	Altri			LIT	OM		 										;;	Assemblea
12	CG012	Alleluia - Gloria al Signor						     -  				RIP	OM		 										;;	Assemblea
13	CG013	Alleluia - Cantate al Signore (RN)	"F. O'Carroll, C. Walker"				LDC	"M: F. O'Carroll, C. Walker   ed. LDC - RN12"	RN			LIT	OM		RN12	RN12									;;	Assemblea
14	CG014	Alleluia - Ed oggi ancora	P. Sequeri					M: P. Sequeri    -  	Sequeri	Liturgico - Moderno		LIT	OM		 			RCB033				05 - Alleluia			05 - Alleluia;;	Coro e Assemblea
15	CG015	Alleluia - E' lui per noi						     -  				LIT	OM		 										;;	Assemblea
16	CG016	Alleluia - Venite a me						     -  				LIT	OM		 										;;	Assemblea
17	CG017	Alleluia - Canto per Cristo	Taizè					M: Taizè    - CDP446	Taizè			LIT	OM		CDP446		CDP446								;;	Assemblea
18	CG018	Alleluia a colui che resuscitò	RNS		Sempre canterò			"M: RNS , 'Sempre canterò'   -  "	RNS			LIT	PAS		 										;;	Assemblea
19	CG019	Alleluia - Signore sei venuto	Scaglianti					M: Scaglianti    -  	Altri			LIT	OM		 										;;	Assemblea
20	CG020	Alleluia - Cantate al Signore (Gen)	Gen Rosso		Dove tu sei	1982	Città Nuova	"M: Gen Rosso , 'Dove tu sei'  ed. Città Nuova (1982)-  "	Gen			LIT	OM		 										;;	Assemblea
21	CG021	"Alleluia, Cristo è Risorto veramente"	F. Buttazzo		Esulta il cielo			"M: F. Buttazzo , 'Esulta il cielo'   -  "	Buttazzo			LIT	PAS		 				2014						;;	Assemblea
22	CG022	"Alleluia, oggi è nato"	F. Buttazzo		Gloria all'Emmanuele			"M: F. Buttazzo , 'Gloria all'Emmanuele'   -  "	Buttazzo			LIT	NAT		 				2013						;;	Assemblea
23	CG023	Alleluia - Rendete grazie	Gen Verde		Il mistero pasquale	2011	Città Nuova	"M: Gen Verde , 'Il mistero pasquale'  ed. Città Nuova (2011)-  "	Gen	Liturgico - Moderno		LIT	PAS		 			RCB105	2013			05 - Alleluia	21 - Tempi: Pasqua		05 - Alleluia;21 - Tempi: Pasqua;	Coro e Assemblea
24	CG024	Amatevi fratelli	D. Machetta					M: D. Machetta    - RN255	RN			LIT	ORD		RN255	RN255	CDP								;;	Assemblea
25	CG025	Andate per le strade	Capello	Roncari		1978		"M: Capello, T: Roncari   (1978)- CDP613"	CDP		Canzone	LIT	ORD		CDP613		CDP613								;;	Assemblea
26	CG026	Ave Maria (Gen Verde)	Gen Verde		Gratitudine	1978	Città Nuova	"M: Gen Verde , 'Gratitudine'  ed. Città Nuova (1978)-  "	Gen	Liturgico - Moderno		LIT	MAR		 			RCB050				22 - Temi: Maria			22 - Temi: Maria;;	Coro e Assemblea
27	CG027	Ave Maria (Balduzzi)	M. Balduzzi		Verbum Panis		Miss.Oblati	"M: M. Balduzzi , 'Verbum Panis'  ed. Miss.Oblati -  "	Gen	Liturgico - Moderno		LIT	MAR		 			RCB060	2006			22 - Temi: Maria			22 - Temi: Maria;;	Coro e Assemblea
